CNN,streetname,from_st,to_st,addrange,limits,from_cnn,to_cnn
13095000,VALLEJO ST,STOCKTON ST,EMERY LN,700 - 764,STOCKTON ST to EMERY LN (700 - 764),25335000,25350000
12211000,STOCKTON ST,VALLEJO ST,CARD ALY,1400 - 1448,VALLEJO ST to CARD ALY (1400 - 1448),25335000,25351000
6452000,GREEN ST,BANNAN PL,JASPER PL,516 - 563,BANNAN PL to JASPER PL (516 - 563),25336000,25353000
2722000,BANNAN PL,GREEN ST,BANNAN PL,28-Jan,GREEN ST to BANNAN PL (1 - 28),25336000,50308000
12840000,UNION ST,GENOA PL,SONOMA ST,418 - 429,GENOA PL to SONOMA ST (418 - 429),25337000,28180000
6161000,GENOA PL,UNION ST,FILBERT ST,Jan-99,UNION ST to FILBERT ST (1 - 99),25337000,30717000
12839000,UNION ST,KEARNY ST,GENOA PL,400 - 419,KEARNY ST to GENOA PL (400 - 419),25338000,25337000
7770000,KEARNY ST,UNION ST,FILBERT ST,1400 - 1499,UNION ST to FILBERT ST (1400 - 1499),25338000,25339000
5495000,FILBERT ST,KEARNY ST,GENOA PL,400 - 422,KEARNY ST to GENOA PL (400 - 422),25339000,30717000
12842000,UNION ST,VARENNES ST,GRANT AVE,444 - 499,VARENNES ST to GRANT AVE (444 - 499),25342000,25343000
13179000,VARENNES ST,UNION ST,FILBERT ST,100 - 199,UNION ST to FILBERT ST (100 - 199),25342000,30716000
12843000,UNION ST,GRANT AVE,BANNAN PL,500 - 511,GRANT AVE to BANNAN PL (500 - 511),25343000,25344000
6405000,GRANT AVE,UNION ST,NOBLES ALY,1500 - 1520,UNION ST to NOBLES ALY (1500 - 1520),25343000,30760000
12844000,UNION ST,BANNAN PL,CADELL PL,506 - 523,BANNAN PL to CADELL PL (506 - 523),25344000,30724000
5499000,FILBERT ST,GRANT AVE,MEDAU PL,500 - 523,GRANT AVE to MEDAU PL (500 - 523),25349000,30712000
6407000,GRANT AVE,FILBERT ST,GERKE ALY,1600 - 1645,FILBERT ST to GERKE ALY (1600 - 1645),25349000,25376000
5226000,EMERY LN,VALLEJO ST,END: 1-99 BLOCK,Jan-99,VALLEJO ST to END: 1-99 BLOCK (1 - 99),25350000,50141000
13096000,VALLEJO ST,EMERY LN,TURK MURPHY LN,743 - 776,EMERY LN to TURK MURPHY LN (743 - 776),25350000,25354000
12212000,STOCKTON ST,CARD ALY,COLUMBUS AVE \ GREEN ST,1435 - 1499,CARD ALY to COLUMBUS AVE \ GREEN ST (1435 - 1499),25351000,25352000
3687000,CARD ALY,STOCKTON ST,END: 1-99 BLOCK,Jan-99,STOCKTON ST to END: 1-99 BLOCK (1 - 99),25351000,50142000
12213000,STOCKTON ST,COLUMBUS AVE \ GREEN ST,UNION ST,1500 - 1599,COLUMBUS AVE \ GREEN ST to UNION ST (1500 - 1599),25352000,25365000
6454000,GREEN ST,COLUMBUS AVE \ STOCKTON ST,POWELL ST,600 - 699,COLUMBUS AVE \ STOCKTON ST to POWELL ST (600 - 699),25352000,25412000
4295000,COLUMBUS AVE,GREEN ST \ STOCKTON ST,UNION ST,500 - 599,GREEN ST \ STOCKTON ST to UNION ST (500 - 599),25352000,25364000
7451000,JASPER PL,GREEN ST,UNION ST,Jan-99,GREEN ST to UNION ST (1 - 99),25353000,25357000
6453000,GREEN ST,JASPER PL,COLUMBUS AVE \ STOCKTON ST,550 - 599,JASPER PL to COLUMBUS AVE \ STOCKTON ST (550 - 599),25353000,25352000
13097000,VALLEJO ST,TURK MURPHY LN,POWELL ST,771 - 799,TURK MURPHY LN to POWELL ST (771 - 799),25354000,25411000
7452000,JASPER PL,UNION ST,FILBERT ST,100 - 199,UNION ST to FILBERT ST (100 - 199),25357000,30714000
12846000,UNION ST,JASPER PL,VIA FERLINGHETTI,547 - 581,JASPER PL to VIA FERLINGHETTI (547 - 581),25357000,25359000
12847000,UNION ST,VIA FERLINGHETTI,STOCKTON ST,574 - 599,VIA FERLINGHETTI to STOCKTON ST (574 - 599),25359000,25365000
12849000,UNION ST,COLUMBUS AVE,POWELL ST,651 - 699,COLUMBUS AVE to POWELL ST (651 - 699),25364000,25423000
4296000,COLUMBUS AVE,UNION ST,POWELL ST,600 - 668,UNION ST to POWELL ST (600 - 668),25364000,25424000
12848000,UNION ST,STOCKTON ST,COLUMBUS AVE,600 - 680,STOCKTON ST to COLUMBUS AVE (600 - 680),25365000,25364000
12214000,STOCKTON ST,UNION ST,FILBERT ST,1600 - 1699,UNION ST to FILBERT ST (1600 - 1699),25365000,25366000
5503000,FILBERT ST,STOCKTON ST,POWELL ST,600 - 699,STOCKTON ST to POWELL ST (600 - 699),25366000,25425000
12215000,STOCKTON ST,FILBERT ST,GREENWICH ST,1700 - 1799,FILBERT ST to GREENWICH ST (1700 - 1799),25366000,25395000
6491000,GREENWICH ST,CHILD ST,GRANT AVE,465 - 499,CHILD ST to GRANT AVE (465 - 499),25368000,25379000
3991000,CHILD ST,GREENWICH ST,TELEGRAPH PL,24-Jan,GREENWICH ST to TELEGRAPH PL (1 - 24),25368000,25375000
8436000,LOMBARD ST,CHILD ST,JULIUS ST,366 - 388,CHILD ST to JULIUS ST (366 - 388),25371000,25383000
7773001,KEARNY ST,LOMBARD ST \ TELEGRAPH HILL BLVD,LA FERRERA TER,1700 - 1728,LOMBARD ST \ TELEGRAPH HILL BLVD to LA FERRERA TER (1700 - 1728),25373000,54048000
8435000,LOMBARD ST,KEARNY ST \ TELEGRAPH HILL BLVD,CHILD ST,292 - 371,KEARNY ST \ TELEGRAPH HILL BLVD to CHILD ST (292 - 371),25373000,25371000
3992000,CHILD ST,TELEGRAPH PL,LOMBARD ST,19 - 99,TELEGRAPH PL to LOMBARD ST (19 - 99),25375000,25371000
6164000,GERKE ALY,GRANT AVE,END: 1-99 BLOCK,Jan-99,GRANT AVE to END: 1-99 BLOCK (1 - 99),25376000,50127000
6408000,GRANT AVE,GERKE ALY,JACK MICHELINE ALY,1646 - 1651,GERKE ALY to JACK MICHELINE ALY (1646 - 1651),25376000,25391000
5095000,EDITH ST,GRANT AVE,END: 1-99 BLOCK,Jan-99,GRANT AVE to END: 1-99 BLOCK (1 - 99),25378000,50124000
6411000,GRANT AVE,EDITH ST,EDGARDO PL,1724 - 1750,EDITH ST to EDGARDO PL (1724 - 1750),25378000,25380000
6492000,GREENWICH ST,GRANT AVE,KRAMER PL,500 - 515,GRANT AVE to KRAMER PL (500 - 515),25379000,25392000
6410000,GRANT AVE,GREENWICH ST,EDITH ST,1700 - 1725,GREENWICH ST to EDITH ST (1700 - 1725),25379000,25378000
6412000,GRANT AVE,EDGARDO PL,LOMBARD ST,1733 - 1799,EDGARDO PL to LOMBARD ST (1733 - 1799),25380000,25382000
5080000,EDGARDO PL,GRANT AVE,END: 1-99 BLOCK,Jan-99,GRANT AVE to END: 1-99 BLOCK (1 - 99),25380000,50123000
8438000,LOMBARD ST,GRANT AVE,STOCKTON ST,400 - 499,GRANT AVE to STOCKTON ST (400 - 499),25382000,25398000
6413000,GRANT AVE,LOMBARD ST,WHITING ST,1800 - 1830,LOMBARD ST to WHITING ST (1800 - 1830),25382000,33845000
8437000,LOMBARD ST,JULIUS ST,GRANT AVE,387 - 399,JULIUS ST to GRANT AVE (387 - 399),25383000,25382000
7700000,JULIUS ST,LOMBARD ST,END: 1-99 BLOCK,Jan-99,LOMBARD ST to END: 1-99 BLOCK (1 - 99),25383000,50133000
2772000,BAY ST,KEARNY ST,MIDWAY ST,50 - 122,KEARNY ST to MIDWAY ST (50 - 122),25384000,25407000
7776000,KEARNY ST,BAY ST,NORTH POINT ST \ THE EMBARCADERO,2000 - 2099,BAY ST to NORTH POINT ST \ THE EMBARCADERO (2000 - 2099),25384000,25474000
7775000,KEARNY ST,FRANCISCO ST,BAY ST,1900 - 1999,FRANCISCO ST to BAY ST (1900 - 1999),25385000,25384000
5754001,FRANCISCO ST,KEARNY ST,END: WEST,100 - 175,KEARNY ST to END: WEST (100 - 175),25385000,50352000
3953000,CHESTNUT ST,KEARNY ST,GRANT AVE,200 - 299,KEARNY ST to GRANT AVE (200 - 299),25386000,25400000
10388000,PFEIFFER ST,GRANT AVE,BELLAIR PL,100 - 169,GRANT AVE to BELLAIR PL (100 - 169),25389000,25402000
6416000,GRANT AVE,PFEIFFER ST,FRANCISCO ST,1931 - 1999,PFEIFFER ST to FRANCISCO ST (1931 - 1999),25389000,25403000
10250000,JACK MICHELINE ALY,GRANT AVE,KRAMER PL,26 - 63,GRANT AVE to KRAMER PL (26 - 63),25391000,28136000
6409000,GRANT AVE,JACK MICHELINE ALY,GREENWICH ST,1650 - 1699,JACK MICHELINE ALY to GREENWICH ST (1650 - 1699),25391000,25379000
6493000,GREENWICH ST,KRAMER PL,STOCKTON ST,514 - 599,KRAMER PL to STOCKTON ST (514 - 599),25392000,25395000
12216000,STOCKTON ST,GREENWICH ST,LOMBARD ST,1800 - 1899,GREENWICH ST to LOMBARD ST (1800 - 1899),25395000,25398000
6494000,GREENWICH ST,STOCKTON ST,BRANT ALY,600 - 665,STOCKTON ST to BRANT ALY (600 - 665),25395000,25396000
6495000,GREENWICH ST,BRANT ALY,POWELL ST,666 - 699,BRANT ALY to POWELL ST (666 - 699),25396000,25451000
3092000,BRANT ALY,GREENWICH ST,END: 1-49 BLOCK,Jan-49,GREENWICH ST to END: 1-49 BLOCK (1 - 49),25396000,50118000
12218000,STOCKTON ST,FIELDING ST,CHESTNUT ST,1935 - 1999,FIELDING ST to CHESTNUT ST (1935 - 1999),25397000,25399000
5488000,FIELDING ST,STOCKTON ST,END: 1-99 BLOCK,Jan-99,STOCKTON ST to END: 1-99 BLOCK (1 - 99),25397000,50115000
8439000,LOMBARD ST,STOCKTON ST,TUSCANY ALY,500 - 535,STOCKTON ST to TUSCANY ALY (500 - 535),25398000,25449000
12217000,STOCKTON ST,LOMBARD ST,FIELDING ST,1900 - 1938,LOMBARD ST to FIELDING ST (1900 - 1938),25398000,25397000
