CNN,street1,street2,street3,street4,street5
50101000,I-280 NORTHBOUND,I-280 N OFF RAMP,,,
50103000,MISSION CREEK,END: 0-0 BLOCK,,,
50104000,BERGEN ALY,END: 1-99 BLOCK,,,
50105000,MOORE PL,END: 1-99 BLOCK,,,
50106000,HAVENS ST,END: 1-99 BLOCK,,,
50107000,HASTINGS TER,END: 1-99 BLOCK,,,
50108000,BLACK PL,END: 1-99 BLOCK,,,
50109000,MARION PL,END: 1-99 BLOCK,,,
50110000,LURMONT TER,END: 1-99 BLOCK,,,
50111000,SOUTHARD PL,END: 1-99 BLOCK,,,
50112000,BRET HARTE TER,END: 1-99 BLOCK,,,
50113000,NEWELL ST,END: 1-99 BLOCK,,,
50114000,VENARD ALY,START: 1-99 BLOCK,,,
50115000,FIELDING ST,END: 1-99 BLOCK,,,
50116000,WORDEN ST,END: 1-99 BLOCK,,,
50117000,TUSCANY ALY,START: 1-99 BLOCK,,,
50118000,BRANT ALY,END: 1-49 BLOCK,,,
50119000,GRANT AVE,END: 2000-2099 BLOCK,,,
50120000,PFEIFFER ST,START: 1-99 BLOCK,,,
50121000,WHITING ST,END: 1-49 BLOCK,,,
50122000,TELEGRAPH PL,START: 1-99 BLOCK,,,
50123000,EDGARDO PL,END: 1-99 BLOCK,,,
50124000,EDITH ST,END: 1-99 BLOCK,,,
50125000,DARRELL PL,END: 1-99 BLOCK,,,
50126000,NAPIER LN,END: 1-99 BLOCK,,,
50127000,GERKE ALY,END: 1-99 BLOCK,,,
50128000,TELEGRAPH HILL BLVD,GREENWICH ST,,,
50129000,KRAMER PL,END: 1-49 BLOCK,,,
50133000,JULIUS ST,END: 1-99 BLOCK,,,
50134000,KENNETH REXROTH PL,START: 1-99 BLOCK,,,
50135000,EATON PL,START: 1-99 BLOCK,,,
50136000,ALADDIN TER,START: 1-99 BLOCK,,,
50137000,KENT ST,END: 1-99 BLOCK,,,
50138000,WEBB PL,END: 1-99 BLOCK,,,
50139000,WINTER PL,START: 1-99 BLOCK,,,
50141000,EMERY LN,END: 1-99 BLOCK,,,
50142000,CARD ALY,END: 1-99 BLOCK,,,
50143000,MARGRAVE PL,END: 1-99 BLOCK,,,
50144000,POLLARD PL,END: 1-99 BLOCK,,,
50145000,VIA FERLINGHETTI,START: 1-99 BLOCK,,,
50146000,BOB KAUFMAN ALY,START: 1-99 BLOCK,,,
50147000,NOBLES ALY,START: 1-99 BLOCK,,,
50148000,GREEN ST,START: 250-299 BLOCK,,,
50149000,GREEN ST,END: 200-249 BLOCK,,,
50150000,CALHOUN TER,START: 1-99 BLOCK,,,
50151000,WINDSOR PL,END: 1-99 BLOCK,,,
50152000,MONTAGUE PL,START: 1-99 BLOCK,,,
50153000,ALTA ST,END: 100-199 BLOCK,,,
50154000,SCHOOL ALY,END: 1-99 BLOCK,,,
50155000,FRONT ST,START: 1100-1199 BLOCK,,,
50156000,UNION ST,START: 1-29 BLOCK,,,
50160000,COWELL PL,START: 1-99 BLOCK,,,
50161000,HODGES ALY,END: 1-99 BLOCK,,,
50162000,PRESCOTT CT,START: 1-99 BLOCK,,,
50163000,BARTOL ST,START: 1-99 BLOCK,,,
50164000,SAROYAN PL,END: 1-99 BLOCK,,,
50165000,VERDI PL,END: 1-99 BLOCK,,,
50166000,DIRK DIRKSEN PL,END: 1-99 BLOCK,,,
50167000,NOTTINGHAM PL,START: 1-99 BLOCK,,,
50168000,JEROME ALY,START: 1-99 BLOCK,,,
50169000,GIBB ST,END: 1-99 BLOCK,,,
50170000,ILS LN,END: 50-99 BLOCK,,,
50171000,COOPER ALY,START: 1-29 BLOCK,,,
50172000,SALMON ST,END: 1-55 BLOCK,,,
