CNN,street1,street2,street3,street4
30710000,VIA BUFANO,COLUMBUS AVE,FILBERT ST,
26764000,BAY ST,CERVANTES BLVD,FILLMORE ST,
26764000,CERVANTES BLVD,BAY ST,FILLMORE ST,
3873000,CERVANTES BLVD,BAY ST,FILLMORE ST,
19916000,WEST PACIFIC AVE,ARGUELLO BLVD,FINLEY RD,
51475000,WEST PACIFIC AVE,ARGUELLO BLVD,FINLEY RD,
51696000,EVANS AVE,ARELIOUS WALKER DR,FITCH ST,
5325000,EVANS AVE,ARELIOUS WALKER DR,FITCH ST,
5578000,ARELIOUS WALKER DR,EVANS AVE,FITCH ST,
51696000,ARELIOUS WALKER DR,EVANS AVE,FITCH ST,
12678000,TREAT AVE,DIVISION ST,FLORIDA ST,
24219000,TREAT AVE,DIVISION ST,FLORIDA ST,
21175000,PRECITA AVE,BESSIE ST,FOLSOM ST,
10746000,PRECITA AVE,BESSIE ST,FOLSOM ST,
33485000,TAPIA DR,ARBALLO DR,FONT BLVD,
12375000,TAPIA DR,ARBALLO DR,FONT BLVD,
8616201,MAGELLAN AVE,CASTENADA AVE,FOREST HILL PATH,
8616101,MAGELLAN AVE,CASTENADA AVE,FOREST HILL PATH,
22897000,MAGELLAN AVE,CASTENADA AVE,FOREST HILL PATH,
50285000,SHAFTER CT,FORT MASON 10,FORT MASON 12,
50286000,SHAFTER CT,FORT MASON 12,FORT MASON 13,
19106000,SHAFTER CT,FORT MASON 12,FORT MASON 13,
50277000,FRANKLIN ST,FORT MASON 13,FORT MASON 15,
19114000,FRANKLIN ST,FORT MASON 13,FORT MASON 15,
50283000,FORT MASON 9,FORT MASON 15,FORT MASON 16,
54177000,FORT MASON 20,FORT MASON 17,FORT MASON 18,
50282000,MACARTHUR AVE,FORT MASON 16,FORT MASON 19,POPE RD
50282000,FRANKLIN ST,FORT MASON 16,FORT MASON 19,POPE RD
50282000,POPE RD,FORT MASON 16,FORT MASON 19,MACARTHUR AVE
19636000,POPE RD,FORT MASON 16,FORT MASON 19,MACARTHUR AVE
15099000,FORT MASON 20,FORT MASON 18,FORT MASON 19,
54178000,FORT MASON 20,FORT MASON 18,FORT MASON 19,
19115000,FRANKLIN ST,FORT MASON 16,FORT MASON 19,POPE RD
19494000,MACARTHUR AVE,FORT MASON 16,FORT MASON 19,POPE RD
15097000,FORT MASON 18,FORT MASON 17,FORT MASON 20,
54178000,FORT MASON 19,FORT MASON 18,FORT MASON 20,
54178000,FORT MASON 18,FORT MASON 19,FORT MASON 20,
54177000,FORT MASON 18,FORT MASON 17,FORT MASON 20,
15098000,FORT MASON 19,FORT MASON 18,FORT MASON 20,
54177000,FORT MASON 17,FORT MASON 18,FORT MASON 20,
50278000,MACARTHUR AVE,FORT MASON 17,FORT MASON 21,
19112000,FORT MASON 9,FORT MASON 10,FORT MASON 8,
50284000,FORT MASON 9,FORT MASON 10,FORT MASON 8,
50283000,FORT MASON 16,FORT MASON 15,FORT MASON 9,
50284000,FORT MASON 10,FORT MASON 8,FORT MASON 9,
50283000,FORT MASON 15,FORT MASON 16,FORT MASON 9,
19111000,FORT MASON 8,FORT MASON 10,FORT MASON 9,
50284000,FORT MASON 8,FORT MASON 10,FORT MASON 9,
19109000,FORT MASON 15,FORT MASON 16,FORT MASON 9,
51490000,VETERANS DR,EL CAMINO DEL MAR,FORT MILEY 7,
19767000,VETERANS DR,EL CAMINO DEL MAR,FORT MILEY 7,
26978000,SCOTT ST,ALHAMBRA ST,FRANCISCO ST,
11717000,SCOTT ST,ALHAMBRA ST,FRANCISCO ST,
28083000,ESMERALDA AVE,BREWSTER ST,FRANCONIA ST,
33365000,PERALTA AVE,ESMERALDA AVE,FRANCONIA ST,
5255000,ESMERALDA AVE,BREWSTER ST,FRANCONIA ST,
28083000,BREWSTER ST,ESMERALDA AVE,FRANCONIA ST,
10568000,POLK ST,AUSTIN ST,FRANK NORRIS ST,
25211000,POLK ST,AUSTIN ST,FRANK NORRIS ST,
50277000,FORT MASON 13,FORT MASON 15,FRANKLIN ST,
50277000,FORT MASON 15,FORT MASON 13,FRANKLIN ST,
19110000,FORT MASON 16,FORT MASON 19,FRANKLIN ST,POPE RD
50282000,FORT MASON 16,FORT MASON 19,FRANKLIN ST,POPE RD
50282000,FORT MASON 19,FORT MASON 16,FRANKLIN ST,POPE RD
8341101,LINCOLN WAY,ARGUELLO BLVD,FREDERICK ST,
8341201,LINCOLN WAY,ARGUELLO BLVD,FREDERICK ST,
27178000,LINCOLN WAY,ARGUELLO BLVD,FREDERICK ST,
3369000,BUENA VISTA AVE WEST,BUENA VISTA AVE,FREDERICK ST,
26333000,BUENA VISTA AVE WEST,BUENA VISTA AVE,FREDERICK ST,
8741201,MARKET ST,FREMONT ST,FRONT ST,
30730000,MARKET ST,FREMONT ST,FRONT ST,
8741101,MARKET ST,FREMONT ST,FRONT ST,
4536101,CROSSOVER DR,25TH AVE,FULTON ST,
3881000,CHAIN OF LAKES DR,43RD AVE,FULTON ST,
26448000,HEMWAY TER,ASHBURY ST,FULTON ST,
